,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0044839,BP,GO:0044839,cell cycle G2/M phase transition,135/4326,273/18866,5.14450085611651e-22,3.30791405048292e-18,2.39138060848532e-18,ACTR1A/AKAP8/AKAP9/ALMS1/APP/ATAD5/ATF5/AURKA/AURKB/BABAM1/BACH1/BLM/BORA/BRCA1/BRCC3/BRD4/BTRC/CCNA2/CCNB1/CCNB2/CCP110/CDC14B/CDC25A/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK14/CDK2/CDK4/CDK5RAP3/CDK7/CENPF/CEP131/CEP135/CEP152/CEP290/CEP41/CEP63/CEP70/CEP72/CHEK1/CHEK2/CKAP5/CNTRL/CUL1/DCTN2/DCTN3/DONSON/DTL/DYNC1H1/DYNC1I2/DYNLL1/DYRK3/ENSA/FBXL12/FBXL6/FBXO5/FBXW11/FOXM1/FOXN3/GTSE1/HAUS6/HAUS7/HMGA2/HMMR/HSP90AA1/HSPA2/HUS1/KHDRBS1/KIF14/MAPRE1/MELK/MIIP/MNAT1/NAE1/NDE1/NEK2/ODF2/OPTN/ORC1/PAXIP1/PBX1/PCM1/PHLDA1/PKIA/PKMYT1/PLK1/PLK4/PPM1D/PPP1CB/PPP2R2A/PRKAR2B/PSMA1/PSMA2/PSMA3/PSMA4/PSMA7/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB8/PSMB9/PSMC1/PSMC2/PSMD11/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD7/PSME1/PSME3/PSME4/RAB11A/RAD21/RAD51B/RAD51C/SKP1/SKP2/SMARCD3/TAF2/TAOK3/TOPBP1/TPD52L1/TPX2/TUBB/TUBG1/USP47/VPS4B,135
GO:1901987,BP,GO:1901987,regulation of cell cycle phase transition,202/4326,486/18866,1.60461224000584e-20,5.15882835161878e-17,3.72945665887674e-17,ACTR1A/ADAM17/AKAP9/AKT1/ALMS1/ANAPC5/ANXA1/APEX1/APP/APPL1/ARID3A/ATAD5/ATF5/AURKA/AURKB/BABAM1/BAX/BID/BLM/BRCA1/BRCC3/BRD4/BTRC/BUB1/BUB1B/BUB3/CARM1/CASP2/CCNB1/CCP110/CDC14B/CDC20/CDC23/CDC25A/CDC25B/CDC25C/CDC27/CDC45/CDC6/CDC7/CDK1/CDK10/CDK2/CDK4/CDK5RAP3/CDT1/CENPE/CENPF/CEP131/CEP135/CEP152/CEP290/CEP41/CEP63/CEP70/CEP72/CHEK1/CHEK2/CKAP5/CNOT1/CNOT8/CNTRL/CRADD/CRNN/CTDSP1/CTDSPL/CUL1/CUL3/CUL4B/CYP1A1/DBF4/DCTN2/DCTN3/DDB1/DLGAP5/DONSON/DTL/DYNC1H1/DYNC1I2/DYNLL1/DYRK3/E2F1/E2F4/EGFR/EIF4G1/ERCC3/ESPL1/EZH2/FAM107A/FBXO5/FBXO7/FBXW7/FOXN3/GIGYF2/GJC2/GLI1/GPNMB/GTSE1/HAUS6/HAUS7/HMGA2/HMMR/HSP90AA1/HSPA2/HUS1/IK/JADE1/KCNA5/KIF14/KLF4/KLHL18/KNTC1/MAD1L1/MAD2L1/MAD2L1BP/MAPRE1/MEN1/MEPCE/MIIP/MOS/MUC1/MYO16/NACC2/NAE1/NDC80/NDE1/NEK2/ODF2/ORC1/OVOL1/PAGR1/PAXIP1/PBX1/PCM1/PCNA/PHB2/PKIA/PLAGL1/PLK1/PLK4/PML/PRKAR2B/PRKDC/PRMT1/PRMT2/PSMA1/PSMA2/PSMA3/PSMA4/PSMA7/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB8/PSMB9/PSMC1/PSMC2/PSMD11/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD7/PSME1/PSME3/PSME4/PSMG2/PTPN6/RAB11A/RAD21/RAD51B/RAD51C/RBL1/RFWD3/RIPK1/SENP2/SKP1/SMARCD3/SOX4/SPDL1/TAOK3/TFAP4/TFDP2/TMOD3/TOPBP1/TPRA1/TPX2/TRIP13/TTK/TUBB/TUBG1/UBE2C/UBE2D1/UBE2E1/USP47/VPS4B/XPC/XRCC3,202
GO:0000086,BP,GO:0000086,G2/M transition of mitotic cell cycle,125/4326,254/18866,2.9430997464112e-20,6.308043789808e-17,4.56025560707082e-17,ACTR1A/AKAP9/ALMS1/APP/AURKA/AURKB/BACH1/BLM/BORA/BRCA1/BRD4/BTRC/CCNA2/CCNB1/CCNB2/CCP110/CDC25A/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK14/CDK2/CDK4/CDK5RAP3/CDK7/CENPF/CEP131/CEP135/CEP152/CEP290/CEP41/CEP63/CEP70/CEP72/CHEK2/CKAP5/CNTRL/CUL1/DCTN2/DCTN3/DONSON/DTL/DYNC1H1/DYNC1I2/DYNLL1/ENSA/FBXL12/FBXL6/FBXO5/FBXW11/FOXM1/FOXN3/HAUS6/HAUS7/HMGA2/HMMR/HSP90AA1/HSPA2/HUS1/KHDRBS1/KIF14/MAPRE1/MELK/MIIP/MNAT1/NAE1/NDE1/NEK2/ODF2/OPTN/ORC1/PBX1/PCM1/PHLDA1/PKIA/PKMYT1/PLK1/PLK4/PPM1D/PPP1CB/PPP2R2A/PRKAR2B/PSMA1/PSMA2/PSMA3/PSMA4/PSMA7/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB8/PSMB9/PSMC1/PSMC2/PSMD11/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD7/PSME1/PSME3/PSME4/RAB11A/RAD21/RAD51B/RAD51C/SKP1/SKP2/SMARCD3/TAF2/TAOK3/TOPBP1/TPD52L1/TPX2/TUBB/TUBG1/USP47/VPS4B,125
GO:1901990,BP,GO:1901990,regulation of mitotic cell cycle phase transition,188/4326,448/18866,1.01390018878462e-19,1.62984455347128e-16,1.17825874570339e-16,ACTR1A/ADAM17/AKAP9/AKT1/ALMS1/ANAPC5/ANXA1/APEX1/APP/APPL1/ARID3A/ATAD5/AURKA/AURKB/BAX/BID/BLM/BRCA1/BRD4/BTRC/BUB1/BUB1B/BUB3/CARM1/CASP2/CCNB1/CCP110/CDC14B/CDC20/CDC23/CDC25A/CDC25B/CDC25C/CDC27/CDC45/CDC6/CDC7/CDK1/CDK10/CDK2/CDK4/CDK5RAP3/CDT1/CENPE/CENPF/CEP131/CEP135/CEP152/CEP290/CEP41/CEP63/CEP70/CEP72/CHEK2/CKAP5/CNOT1/CNOT8/CNTRL/CRADD/CTDSP1/CTDSPL/CUL1/CUL3/CUL4B/CYP1A1/DCTN2/DCTN3/DDB1/DLGAP5/DONSON/DTL/DYNC1H1/DYNC1I2/DYNLL1/E2F1/E2F4/EGFR/EIF4G1/ERCC3/ESPL1/EZH2/FAM107A/FBXO5/FBXO7/FOXN3/GIGYF2/GJC2/GPNMB/GTSE1/HAUS6/HAUS7/HMGA2/HMMR/HSP90AA1/HSPA2/HUS1/IK/JADE1/KCNA5/KIF14/KLF4/KLHL18/KNTC1/MAD1L1/MAD2L1/MAD2L1BP/MAPRE1/MEPCE/MIIP/MUC1/MYO16/NACC2/NAE1/NDC80/NDE1/NEK2/ODF2/ORC1/PBX1/PCM1/PCNA/PHB2/PKIA/PLAGL1/PLK1/PLK4/PML/PRKAR2B/PRKDC/PRMT1/PRMT2/PSMA1/PSMA2/PSMA3/PSMA4/PSMA7/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB8/PSMB9/PSMC1/PSMC2/PSMD11/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD7/PSME1/PSME3/PSME4/PSMG2/PTPN6/RAB11A/RAD21/RAD51B/RAD51C/RBL1/RFWD3/RIPK1/SENP2/SKP1/SMARCD3/SOX4/SPDL1/TAOK3/TFAP4/TFDP2/TMOD3/TOPBP1/TPRA1/TPX2/TRIP13/TTK/TUBB/TUBG1/UBE2C/UBE2D1/UBE2E1/USP47/VPS4B/XPC/XRCC3,188
GO:0006260,BP,GO:0006260,DNA replication,129/4326,273/18866,5.90390020303892e-19,7.59241566110805e-16,5.48876279928839e-16,ACVRL1/ATAD5/ATR/BAZ1A/BCL6/BLM/BRCA1/BRCA2/BRIP1/CACYBP/CCNA2/CCNE1/CCNE2/CDC45/CDC6/CDC7/CDK1/CDK2/CDK2AP1/CDT1/CHAF1A/CHAF1B/CHEK1/CHEK2/CST3/DBF4/DDX11/DHX9/DNA2/DNAJA3/DNAJC2/DONSON/DSCC1/DTL/DUT/E4F1/EGFR/EREG/ETAA1/EXO1/FAM111A/FBXO5/FEN1/GINS1/GINS2/GINS3/GINS4/GLI1/GLI2/GMNN/GRWD1/GTPBP4/HCRT/HUS1/ID3/IGHMBP2/LIG1/LIG3/MAP2K4/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NAP1L1/NASP/NFIC/NFIX/NUCKS1/ORC1/ORC2/ORC3/ORC4/ORC5/ORC6/PCNA/POLA1/POLA2/POLD1/POLD2/POLD4/POLE/POLE2/POLG2/POLQ/PPP2CA/PRIM1/PRIM2/PURA/RAD1/RAD51/RAD9A/RBBP4/RBBP8/RECQL4/RFC2/RFC3/RFC4/RFC5/RFWD3/RMI1/RNASEH2A/RPA1/RPA3/RRM1/RRM2/S100A11/SENP2/SET/SETMAR/SSBP1/SSRP1/SUPT16H/TERF1/TIMELESS/TIPIN/TNFAIP1/TOPBP1/TTF1/UCN/UPF1/WDHD1/WDR18/WIZ/WRN/ZNF365/ZPR1,129
GO:1902749,BP,GO:1902749,regulation of cell cycle G2/M phase transition,109/4326,217/18866,1.10104381619564e-18,1.17995195635633e-15,8.53019209178938e-16,ACTR1A/AKAP9/ALMS1/APP/ATAD5/ATF5/AURKA/AURKB/BABAM1/BLM/BRCA1/BRCC3/BRD4/CCNB1/CCP110/CDC14B/CDC25A/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK2/CDK4/CDK5RAP3/CENPF/CEP131/CEP135/CEP152/CEP290/CEP41/CEP63/CEP70/CEP72/CHEK1/CKAP5/CNTRL/CUL1/DCTN2/DCTN3/DONSON/DTL/DYNC1H1/DYNC1I2/DYNLL1/DYRK3/FBXO5/FOXN3/GTSE1/HAUS6/HAUS7/HMGA2/HMMR/HSP90AA1/HSPA2/HUS1/KIF14/MAPRE1/MIIP/NAE1/NDE1/NEK2/ODF2/ORC1/PAXIP1/PBX1/PCM1/PKIA/PLK1/PLK4/PRKAR2B/PSMA1/PSMA2/PSMA3/PSMA4/PSMA7/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB8/PSMB9/PSMC1/PSMC2/PSMD11/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD7/PSME1/PSME3/PSME4/RAB11A/RAD21/RAD51B/RAD51C/SKP1/SMARCD3/TAOK3/TOPBP1/TPX2/TUBB/TUBG1/USP47/VPS4B,109
GO:0140014,BP,GO:0140014,mitotic nuclear division,131/4326,286/18866,8.20496938105791e-18,7.5368504457432e-15,5.4485932010153e-15,AKAP8/ANAPC5/AURKA/AURKB/BCCIP/BIRC5/BMP7/BORA/BUB1/BUB1B/BUB3/CAV2/CCNB1/CCNB2/CDC14B/CDC20/CDC23/CDC25C/CDC27/CDC6/CDCA8/CDK1/CDT1/CENPE/CENPF/CEP85/CEP97/CHEK1/CHEK2/CHMP1A/CHMP2A/CHMP2B/CHMP5/CLASP2/CUL3/DCTN2/DLGAP5/DRG1/DSCC1/DSN1/EDN3/EREG/ESPL1/FBXO5/GOLGA2/HNRNPU/IGF1/IK/IL1A/KATNB1/KIF11/KIF14/KIF18A/KIF18B/KIF20B/KIF22/KIF23/KIF2A/KIF2C/KIF3B/KIF4A/KIFC1/KNTC1/KPNB1/LPIN1/LRP5/MAD1L1/MAD2L1/MAD2L1BP/MAU2/MIS12/MISP/MKI67/MYBL2/NAA50/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NDE1/NEK2/NFE2L1/NME6/NSL1/NUP62/NUSAP1/PHB2/PHIP/PKMYT1/PLK1/PRC1/PRMT5/PSMG2/PSRC1/PTTG1/PTTG3P/RAB11A/RACGAP1/RAD21/RANBP1/RCC1/REC8/RHOA/RRS1/SIRT7/SMC1A/SMC2/SMC4/SMPD3/SPAG5/SPAST/SPDL1/SPHK1/STAG1/TACC3/TOM1L2/TPX2/TRIP13/TTK/TUBG1/TUBG2/UBE2C/UBE2S/USP16/VPS4B/VRK1/WRAP73/XRCC3/ZWINT,131
GO:0010389,BP,GO:0010389,regulation of G2/M transition of mitotic cell cycle,100/4326,200/18866,4.40480975205127e-17,3.54036583821121e-14,2.559426298034e-14,ACTR1A/AKAP9/ALMS1/APP/AURKA/AURKB/BLM/BRCA1/BRD4/CCNB1/CCP110/CDC25A/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK2/CDK4/CDK5RAP3/CENPF/CEP131/CEP135/CEP152/CEP290/CEP41/CEP63/CEP70/CEP72/CKAP5/CNTRL/CUL1/DCTN2/DCTN3/DONSON/DTL/DYNC1H1/DYNC1I2/DYNLL1/FBXO5/FOXN3/HAUS6/HAUS7/HMGA2/HMMR/HSP90AA1/HSPA2/HUS1/KIF14/MAPRE1/MIIP/NAE1/NDE1/NEK2/ODF2/ORC1/PBX1/PCM1/PKIA/PLK1/PLK4/PRKAR2B/PSMA1/PSMA2/PSMA3/PSMA4/PSMA7/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB8/PSMB9/PSMC1/PSMC2/PSMD11/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD7/PSME1/PSME3/PSME4/RAB11A/RAD21/RAD51B/RAD51C/SKP1/SMARCD3/TAOK3/TOPBP1/TPX2/TUBB/TUBG1/USP47/VPS4B,100
GO:0010948,BP,GO:0010948,negative regulation of cell cycle process,151/4326,359/18866,3.39022865358535e-16,2.42213002695042e-13,1.75102336072899e-13,ARID3A/ATF5/AURKA/AURKB/BABAM1/BAX/BCL6/BLM/BMP7/BRCA1/BRCC3/BUB1/BUB1B/BUB3/CALR/CARM1/CASP2/CBX3/CBX5/CCNB1/CCNF/CCP110/CDC14B/CDC20/CDC25C/CDC6/CDC7/CDK1/CDK2/CDK4/CDK5RAP3/CDT1/CENPF/CHEK1/CHEK2/CHMP2A/CNOT1/CNOT8/CRADD/CTDSP1/CTDSPL/CUL1/DONSON/DTL/E2F1/E2F4/E2F6/ESPL1/EZH2/FAM107A/FBXO5/FBXO7/FOXN3/GIGYF2/GJC2/GPNMB/GTSE1/HLA-G/HMGA2/HMGN5/HSP90AB1/HUS1/IK/JADE1/KAT2A/KAT2B/KLF4/MAD1L1/MAD2L1/MAX/MDM1/MEN1/MIIP/MOS/MUC1/MYO16/NACC2/NAE1/NDC80/NEK2/NME6/ORC1/OVOL1/PCGF2/PCNA/PHC1/PHC3/PLAGL1/PLK1/PML/PRKAR1A/PRKDC/PRMT1/PRMT2/PSMA1/PSMA2/PSMA3/PSMA4/PSMA7/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB8/PSMB9/PSMC1/PSMC2/PSMD11/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD7/PSME1/PSME3/PSME4/PSMG2/PTTG1/PTTG3P/RAD1/RAD21/RAD51/RBBP4/RBBP8/RBL1/RBM14/RFWD3/RIPK1/RNF2/RRM2/RYBP/SETMAR/SKP1/SOX4/SPDL1/SUZ12/TAOK3/TERF1/TFAP4/TFDP2/TOM1L2/TOPBP1/TPRA1/TRIM37/TRIP13/TTK/USP47/XRCC3,151
GO:0006261,BP,GO:0006261,DNA-dependent DNA replication,80/4326,151/18866,8.88126429677712e-16,5.71065294282769e-13,4.12838559311239e-13,ATAD5/BAZ1A/BCL6/BLM/BRCA2/CCNE1/CCNE2/CDC45/CDC6/CDC7/CDK2/CDK2AP1/CDT1/CHEK2/DBF4/DDX11/DNA2/DNAJA3/DONSON/DSCC1/ETAA1/FBXO5/FEN1/GINS1/GINS2/GINS3/GINS4/GMNN/LIG1/LIG3/MCM10/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/ORC1/ORC2/ORC3/ORC4/ORC5/ORC6/PCNA/POLA1/POLA2/POLD1/POLD2/POLD4/POLE/POLE2/POLG2/POLQ/PRIM1/PRIM2/PURA/RAD51/RECQL4/RFC2/RFC3/RFC4/RFC5/RFWD3/RPA1/RPA3/SENP2/SETMAR/SSBP1/TERF1/TIMELESS/TIPIN/TOPBP1/UPF1/WDHD1/WDR18/WIZ/WRN/ZNF365/ZPR1,80
