,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007586,BP,GO:0007586,digestion,16/73,141/18866,1.45307644951857e-19,2.08807085795818e-16,1.70851199380236e-16,CAPN9/CCKBR/CHIA/CLPS/CTRB2/GKN1/KCNQ1/MUC6/NEUROD1/PBLD/PGC/PNLIP/PNLIPRP2/SST/TFF1/TFF2,16
GO:0022600,BP,GO:0022600,digestive system process,8/73,102/18866,5.5578212924336e-09,3.99329459861354e-06,3.2674138861307e-06,CCKBR/KCNQ1/MUC6/NEUROD1/PBLD/PNLIP/TFF1/TFF2,8
GO:0030277,BP,GO:0030277,maintenance of gastrointestinal epithelium,5/73,21/18866,1.46329884528479e-08,7.00920146891413e-06,5.7351045971337e-06,MUC6/NEUROD1/PBLD/TFF1/TFF2,5
GO:0010669,BP,GO:0010669,epithelial structure maintenance,5/73,28/18866,6.92013994548359e-08,2.48606027541498e-05,2.03415692608031e-05,MUC6/NEUROD1/PBLD/TFF1/TFF2,5
GO:0009914,BP,GO:0009914,hormone transport,10/73,323/18866,4.50355580981333e-07,0.000129432193974035,0.000105904670306558,CCKAR/CHGA/FGA/FGG/FOXA2/GPER1/HNF1B/NEUROD1/NR0B2/TTR,10
GO:0046879,BP,GO:0046879,hormone secretion,9/73,314/18866,3.33269372223689e-06,0.000798180146475736,0.000653091032936598,CCKAR/CHGA/FGA/FGG/FOXA2/GPER1/HNF1B/NEUROD1/NR0B2,9
GO:0030072,BP,GO:0030072,peptide hormone secretion,8/73,257/18866,6.65625437936406e-06,0.00126407166054181,0.0010342951652384,CHGA/FGA/FGG/FOXA2/GPER1/HNF1B/NEUROD1/NR0B2,8
GO:0001894,BP,GO:0001894,tissue homeostasis,8/73,261/18866,7.45229028674543e-06,0.00126407166054181,0.0010342951652384,CLDN18/COL2A1/MUC6/NEUROD1/PBLD/SLC28A2/TFF1/TFF2,8
GO:0050708,BP,GO:0050708,regulation of protein secretion,9/73,352/18866,8.39582053786203e-06,0.00126407166054181,0.0010342951652384,CHGA/FGA/FGG/FOXA2/GPER1/KRT20/NEUROD1/NR0B2/PLA2G1B,9
GO:0046883,BP,GO:0046883,regulation of hormone secretion,8/73,267/18866,8.79660167391656e-06,0.00126407166054181,0.0010342951652384,CCKAR/CHGA/FGA/FGG/FOXA2/GPER1/NEUROD1/NR0B2,8
GO:0009306,BP,GO:0009306,protein secretion,10/73,462/18866,1.0999984724187e-05,0.00134220044277543,0.00109822209616537,CHGA/FGA/FGG/FOXA2/GPER1/HNF1B/KRT20/NEUROD1/NR0B2/PLA2G1B,10
GO:0035592,BP,GO:0035592,establishment of protein localization to extracellular region,10/73,463/18866,1.12083544281873e-05,0.00134220044277543,0.00109822209616537,CHGA/FGA/FGG/FOXA2/GPER1/HNF1B/KRT20/NEUROD1/NR0B2/PLA2G1B,10
GO:0071692,BP,GO:0071692,protein localization to extracellular region,10/73,470/18866,1.27648628024659e-05,0.00141100829593411,0.00115452240893558,CHGA/FGA/FGG/FOXA2/GPER1/HNF1B/KRT20/NEUROD1/NR0B2/PLA2G1B,10
GO:0019730,BP,GO:0019730,antimicrobial humoral response,6/73,137/18866,1.5001820508381e-05,0.00151211290214374,0.00123724873581259,CHGA/FGA/PGC/PLA2G1B/REG1A/REG3A,6
GO:0002791,BP,GO:0002791,regulation of peptide secretion,9/73,381/18866,1.57840595213334e-05,0.00151211290214374,0.00123724873581259,CHGA/FGA/FGG/FOXA2/GPER1/KRT20/NEUROD1/NR0B2/PLA2G1B,9
GO:0090276,BP,GO:0090276,regulation of peptide hormone secretion,7/73,213/18866,1.83599042929718e-05,0.00164894890431253,0.00134921138784536,CHGA/FGA/FGG/FOXA2/GPER1/NEUROD1/NR0B2,7
GO:1904035,BP,GO:1904035,regulation of epithelial cell apoptotic process,5/73,94/18866,3.17036373678102e-05,0.00267988981750255,0.00219275312321016,FGA/FGG/GPER1/NEUROD1/PLA2G1B,5
GO:0001696,BP,GO:0001696,gastric acid secretion,3/73,19/18866,5.15135234997543e-05,0.00411249629273039,0.00336494770463307,CCKBR/KCNQ1/TFF2,3
GO:0044241,BP,GO:0044241,lipid digestion,3/73,21/18866,7.03127468853308e-05,0.00531786406706423,0.00435120987650496,CLPS/PNLIP/PNLIPRP2,3
GO:1904019,BP,GO:1904019,epithelial cell apoptotic process,5/73,117/18866,9.03293037273311e-05,0.00649016047280874,0.00531041222439099,FGA/FGG/GPER1/NEUROD1/PLA2G1B,5
GO:0140115,BP,GO:0140115,export across plasma membrane,4/73,62/18866,9.71154561792375e-05,0.00664547192997925,0.00543749195750417,ATP4A/ATP4B/KCNE2/KCNQ1,4
GO:0030073,BP,GO:0030073,insulin secretion,6/73,213/18866,0.000175046995223286,0.0110655634478193,0.00905412179702902,CHGA/FOXA2/GPER1/HNF1B/NEUROD1/NR0B2,6
GO:0048565,BP,GO:0048565,digestive tract development,5/73,135/18866,0.000177110618858625,0.0110655634478193,0.00905412179702902,CCKBR/CLDN18/GATA6/HNF1B/REG1A,5
GO:0061844,BP,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,4/73,75/18866,0.000203728297846511,0.0121982318335599,0.00998089950414707,PGC/PLA2G1B/REG1A/REG3A,4
GO:1903524,BP,GO:1903524,positive regulation of blood circulation,4/73,76/18866,0.000214420850385059,0.0123249104801332,0.0100845511528468,CHGA/FGA/FGG/KCNQ1,4
GO:0031016,BP,GO:0031016,pancreas development,4/73,79/18866,0.000248924663524325,0.0137578746724791,0.0112570384273956,FOXA2/GATA6/HNF1B/NEUROD1,4
GO:0055123,BP,GO:0055123,digestive system development,5/73,147/18866,0.000263185083642997,0.0140072950072217,0.0114611204065976,CCKBR/CLDN18/GATA6/HNF1B/REG1A,5
GO:0060249,BP,GO:0060249,anatomical structure homeostasis,8/73,469/18866,0.000448645312000259,0.0230251183337276,0.0188397298309883,CLDN18/COL2A1/MUC6/NEUROD1/PBLD/SLC28A2/TFF1/TFF2,8
GO:0050714,BP,GO:0050714,positive regulation of protein secretion,5/73,172/18866,0.000541074445465931,0.0268111716598118,0.0219375737054608,FGA/FGG/GPER1/NR0B2/PLA2G1B,5
