,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006958,BP,GO:0006958,complement activation, classical pathway,7/19,141/18866,5.24074780606061e-11,1.98425838847665e-08,1.3996396663156e-08,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57,7
GO:0002455,BP,GO:0002455,humoral immune response mediated by circulating immunoglobulin,7/19,155/18866,1.02281360230755e-10,1.98425838847665e-08,1.3996396663156e-08,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57,7
GO:0006956,BP,GO:0006956,complement activation,7/19,178/18866,2.70785534762105e-10,3.50215958292323e-08,2.4703241767771e-08,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57,7
GO:0042113,BP,GO:0042113,B cell activation,8/19,328/18866,4.90571299957761e-10,3.98311677009207e-08,2.80957775427005e-08,IGHD/IGHM/IGKC/IGLC1/IGLL5/LAX1/MZB1/XBP1,8
GO:0050864,BP,GO:0050864,regulation of B cell activation,7/19,195/18866,5.13288243568566e-10,3.98311677009207e-08,2.80957775427005e-08,IGHD/IGHM/IGKC/IGLC1/IGLL5/MZB1/XBP1,7
GO:0006959,BP,GO:0006959,humoral immune response,8/19,377/18866,1.47277294959336e-09,7.88297885765546e-08,5.56043001353885e-08,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57/ST6GAL1,8
GO:0016064,BP,GO:0016064,immunoglobulin mediated immune response,7/19,227/18866,1.48331140078426e-09,7.88297885765546e-08,5.56043001353885e-08,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57,7
GO:0019724,BP,GO:0019724,B cell mediated immunity,7/19,230/18866,1.62535646549597e-09,7.88297885765546e-08,5.56043001353885e-08,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57,7
GO:0050871,BP,GO:0050871,positive regulation of B cell activation,6/19,151/18866,5.92415907948895e-09,2.55397080315746e-07,1.80149866744693e-07,IGHD/IGHM/IGKC/IGLC1/IGLL5/XBP1,6
GO:0002429,BP,GO:0002429,immune response-activating cell surface receptor signaling pathway,8/19,481/18866,9.9491815961647e-09,3.50934769028355e-07,2.47539446411753e-07,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57/LAX1,8
GO:0002757,BP,GO:0002757,immune response-activating signal transduction,8/19,481/18866,9.9491815961647e-09,3.50934769028355e-07,2.47539446411753e-07,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57/LAX1,8
GO:0006910,BP,GO:0006910,phagocytosis, recognition,5/19,88/18866,2.1737297212552e-08,7.02839276539182e-07,4.95762918882765e-07,IGHD/IGHM/IGKC/IGLC1/IGLL5,5
GO:0002449,BP,GO:0002449,lymphocyte mediated immunity,7/19,366/18866,4.02646656796982e-08,1.20174540644022e-06,8.47677172204173e-07,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57,7
GO:0002460,BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,7/19,370/18866,4.33770749786209e-08,1.20216464940749e-06,8.47972894318904e-07,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57,7
GO:0006909,BP,GO:0006909,phagocytosis,7/19,382/18866,5.39673966352544e-08,1.39595665963191e-06,9.84668289485344e-07,IGHD/IGHM/IGKC/IGLC1/IGLL5/IGLV1-44/IGLV6-57,7
GO:0006911,BP,GO:0006911,phagocytosis, engulfment,5/19,126/18866,1.32353095528374e-07,3.20956256656306e-06,2.26393452877481e-06,IGHD/IGHM/IGKC/IGLC1/IGLL5,5
GO:0050853,BP,GO:0050853,B cell receptor signaling pathway,5/19,135/18866,1.86842434158234e-07,4.02749246963304e-06,2.84087911585619e-06,IGHD/IGHM/IGKC/IGLC1/IGLL5,5
GO:0099024,BP,GO:0099024,plasma membrane invagination,5/19,135/18866,1.86842434158234e-07,4.02749246963304e-06,2.84087911585619e-06,IGHD/IGHM/IGKC/IGLC1/IGLL5,5
GO:0010324,BP,GO:0010324,membrane invagination,5/19,143/18866,2.48982442412187e-07,5.08448356083835e-06,3.58645069402596e-06,IGHD/IGHM/IGKC/IGLC1/IGLL5,5
GO:0050851,BP,GO:0050851,antigen receptor-mediated signaling pathway,6/19,325/18866,5.60492778305594e-07,1.08735598991285e-05,7.66990117681339e-06,IGHD/IGHM/IGKC/IGLC1/IGLL5/LAX1,6
GO:0051251,BP,GO:0051251,positive regulation of lymphocyte activation,6/19,357/18866,9.70037574446977e-07,1.79225989945441e-05,1.26420937020659e-05,IGHD/IGHM/IGKC/IGLC1/IGLL5/XBP1,6
GO:0002377,BP,GO:0002377,immunoglobulin production,5/19,210/18866,1.66862875505735e-06,2.94285434982842e-05,2.07580610676991e-05,IGKC/IGLV1-44/IGLV6-57/MZB1/XBP1,5
GO:0002696,BP,GO:0002696,positive regulation of leukocyte activation,6/19,406/18866,2.04843413870762e-06,3.4556193296459e-05,2.43749600029282e-05,IGHD/IGHM/IGKC/IGLC1/IGLL5/XBP1,6
