,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006413,BP,GO:0006413,translational initiation,24/49,192/18866,1.75871446278246e-35,7.48549681977542e-33,6.86541676285123e-33,EIF2D/EIF3F/EIF3L/EIF4B/RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,24
GO:0019080,BP,GO:0019080,viral gene expression,24/49,195/18866,2.60365106774797e-35,7.48549681977542e-33,6.86541676285123e-33,EIF2D/EIF3F/EIF3L/POLR2L/RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,24
GO:0006614,BP,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,20/49,105/18866,2.96589161783901e-33,5.6846256008581e-31,5.21372526504331e-31,RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,20
GO:0006613,BP,GO:0006613,cotranslational protein targeting to membrane,20/49,109/18866,6.71810205769936e-33,9.65727170794283e-31,8.85728718659837e-31,RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,20
GO:0000184,BP,GO:0000184,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,20/49,120/18866,5.41710898615424e-32,5.19139611173114e-30,4.7613536878303e-30,RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,20
GO:0045047,BP,GO:0045047,protein targeting to ER,20/49,120/18866,5.41710898615424e-32,5.19139611173114e-30,4.7613536878303e-30,RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,20
GO:0072599,BP,GO:0072599,establishment of protein localization to endoplasmic reticulum,20/49,124/18866,1.09872104994115e-31,9.02520862451662e-30,8.27758264692508e-30,RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,20
GO:0000956,BP,GO:0000956,nuclear-transcribed mRNA catabolic process,22/49,210/18866,1.31263089930332e-30,9.43453458874264e-29,8.65300105988112e-29,CNOT3/LSM3/RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,22
GO:0019083,BP,GO:0019083,viral transcription,21/49,178/18866,2.72651911149124e-30,1.74194276567496e-28,1.59764453199662e-28,POLR2L/RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,21
GO:0070972,BP,GO:0070972,protein localization to endoplasmic reticulum,20/49,152/18866,8.45394044675328e-30,4.86101575688314e-28,4.45834122507726e-28,RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,20
GO:0006612,BP,GO:0006612,protein targeting to membrane,20/49,210/18866,7.2335564130491e-27,3.78117721591203e-25,3.46795384013167e-25,RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,20
GO:0006402,BP,GO:0006402,mRNA catabolic process,23/49,376/18866,1.4376605242301e-26,6.88879001193587e-25,6.31813967227437e-25,CNOT3/LSM3/MAPKAPK2/RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,23
GO:0006401,BP,GO:0006401,RNA catabolic process,23/49,415/18866,1.4098430941073e-25,6.23584445470539e-24,5.71928251131789e-24,CNOT3/LSM3/MAPKAPK2/RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,23
GO:0090150,BP,GO:0090150,establishment of protein localization to membrane,20/49,342/18866,1.47939123465919e-22,6.07607114235024e-21,5.57274442529515e-21,RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,20
GO:0002181,BP,GO:0002181,cytoplasmic translation,14/49,103/18866,4.81894750721709e-21,1.84726321109989e-19,1.69424049201106e-19,EIF2D/EIF3F/EIF3L/EIF4B/RPL10A/RPL11/RPL15/RPL22/RPL29/RPL32/RPL6/RPL9/RPLP0/RPS23,14
GO:0006605,BP,GO:0006605,protein targeting,20/49,444/18866,2.68199037658635e-20,9.6384029158572e-19,8.83998143861686e-19,RPL10A/RPL11/RPL14/RPL15/RPL22/RPL27A/RPL29/RPL3/RPL32/RPL34/RPL6/RPL9/RPLP0/RPS17/RPS18/RPS23/RPS25/RPS5/RPS6/RPS9,20
GO:0022613,BP,GO:0022613,ribonucleoprotein complex biogenesis,17/49,482/18866,1.94884402207909e-15,6.59167830997338e-14,6.04563996942181e-14,EIF2D/EIF3F/EIF3L/EIF4B/NSA2/PRPF31/RPL10A/RPL10L/RPL11/RPL14/RPL3/RPL6/RPLP0/RPS17/RPS5/RPS6/RPS9,17
GO:0042273,BP,GO:0042273,ribosomal large subunit biogenesis,8/49,74/18866,1.50503946625384e-11,4.69857119328848e-10,4.30935316766596e-10,NSA2/RPL10A/RPL10L/RPL11/RPL14/RPL3/RPL6/RPLP0,8
GO:0022618,BP,GO:0022618,ribonucleoprotein complex assembly,11/49,233/18866,1.55257135082576e-11,4.69857119328848e-10,4.30935316766596e-10,EIF2D/EIF3F/EIF3L/EIF4B/PRPF31/RPL10L/RPL11/RPL3/RPL6/RPLP0/RPS5,11
GO:0042254,BP,GO:0042254,ribosome biogenesis,12/49,310/18866,1.67923490889102e-11,4.82780036306167e-10,4.42787731239157e-10,NSA2/RPL10A/RPL10L/RPL11/RPL14/RPL3/RPL6/RPLP0/RPS17/RPS5/RPS6/RPS9,12
GO:0071826,BP,GO:0071826,ribonucleoprotein complex subunit organization,11/49,240/18866,2.13734638985168e-11,5.85225797221293e-10,5.36747138504106e-10,EIF2D/EIF3F/EIF3L/EIF4B/PRPF31/RPL10L/RPL11/RPL3/RPL6/RPLP0/RPS5,11
GO:0000027,BP,GO:0000027,ribosomal large subunit assembly,5/49,30/18866,1.30030319359516e-08,3.39851971053281e-07,3.11699473679988e-07,RPL10L/RPL11/RPL3/RPL6/RPLP0,5
GO:0042255,BP,GO:0042255,ribosome assembly,6/49,67/18866,1.97927319076724e-08,4.9481829769181e-07,4.53828772802924e-07,RPL10L/RPL11/RPL3/RPL6/RPLP0/RPS5,6
GO:0006364,BP,GO:0006364,rRNA processing,7/49,227/18866,1.86063162745528e-06,4.45776327411161e-05,4.088493181382e-05,NSA2/RPL10A/RPL11/RPL14/RPS17/RPS6/RPS9,7
GO:0002183,BP,GO:0002183,cytoplasmic translational initiation,4/49,35/18866,1.98155016657141e-06,4.55756538311424e-05,4.18002793032537e-05,EIF2D/EIF3F/EIF3L/EIF4B,4
GO:0016072,BP,GO:0016072,rRNA metabolic process,7/49,238/18866,2.54719148387691e-06,5.63321193549702e-05,5.16657058065722e-05,NSA2/RPL10A/RPL11/RPL14/RPS17/RPS6/RPS9,7
GO:0019081,BP,GO:0019081,viral translation,3/49,15/18866,7.32891765261549e-06,0.000156078801861256,0.000143149619647577,EIF2D/EIF3F/EIF3L,3
GO:0034470,BP,GO:0034470,ncRNA processing,7/49,400/18866,7.28397635574066e-05,0.00149581657305389,0.00137190682489702,NSA2/RPL10A/RPL11/RPL14/RPS17/RPS6/RPS9,7
GO:0034660,BP,GO:0034660,ncRNA metabolic process,7/49,493/18866,0.000264847795741694,0.00525129250177496,0.00481628840895058,NSA2/RPL10A/RPL11/RPL14/RPS17/RPS6/RPS9,7
GO:0075522,BP,GO:0075522,IRES-dependent viral translational initiation,2/49,10/18866,0.000293454554500786,0.00562454562793172,0.00515862216859276,EIF2D/EIF3F,2
GO:0001731,BP,GO:0001731,formation of translation preinitiation complex,2/49,11/18866,0.000358071731622461,0.00664165308654565,0.00609147495901029,EIF2D/EIF4B,2
GO:0001732,BP,GO:0001732,formation of cytoplasmic translation initiation complex,2/49,16/18866,0.000774792592094617,0.0139220543892001,0.0127687858105067,EIF3F/EIF3L,2
GO:0042274,BP,GO:0042274,ribosomal small subunit biogenesis,3/49,75/18866,0.000974881860145929,0.0169865778661791,0.0155794517363034,RPS17/RPS5/RPS6,3
GO:0006450,BP,GO:0006450,regulation of translational fidelity,2/49,20/18866,0.00121864584900297,0.0206094518581385,0.0189022158003248,RPS5/RPS9,2
GO:0000470,BP,GO:0000470,maturation of LSU-rRNA,2/49,28/18866,0.00239254994404283,0.0393061776521323,0.0360501510365552,NSA2/RPL10A,2
