,gene,module,color
SMC5,SMC5,0,grey
SMC6,SMC6,1,turquoise
SMCHD1,SMCHD1,0,grey
SMCO4,SMCO4,0,grey
SMCP,SMCP,0,grey
SMEK1,SMEK1,1,turquoise
SMEK2,SMEK2,0,grey
SMG5,SMG5,1,turquoise
SMG6,SMG6,0,grey
SMG7,SMG7,1,turquoise
SMG7-AS1,SMG7-AS1,0,grey
SMG8,SMG8,1,turquoise
SMG9,SMG9,1,turquoise
SMIM14,SMIM14,0,grey
SMIM2,SMIM2,0,grey
SMIM7,SMIM7,0,grey
SMIM8,SMIM8,1,turquoise
SMN1 /// SMN2,SMN1 /// SMN2,0,grey
SMNDC1,SMNDC1,0,grey
SMO,SMO,0,grey
SMOX,SMOX,0,grey
SMPD1,SMPD1,1,turquoise
SMPD2,SMPD2,1,turquoise
SMPD3,SMPD3,1,turquoise
SMPDL3A,SMPDL3A,1,turquoise
SMPDL3B,SMPDL3B,0,grey
SMPX,SMPX,0,grey
SMR3A,SMR3A,0,grey
SMR3A /// SMR3B,SMR3A /// SMR3B,0,grey
SMR3B,SMR3B,0,grey
SMS,SMS,1,turquoise
SMTN,SMTN,2,blue
SMU1,SMU1,0,grey
SMUG1,SMUG1,0,grey
SMURF1,SMURF1,0,grey
SMURF2,SMURF2,1,turquoise
SMYD2,SMYD2,1,turquoise
SMYD3,SMYD3,1,turquoise
SMYD5,SMYD5,1,turquoise
SNAI1,SNAI1,0,grey
SNAI2,SNAI2,1,turquoise
SNAP23,SNAP23,0,grey
SNAP25,SNAP25,0,grey
SNAP29,SNAP29,1,turquoise
SNAP91,SNAP91,0,grey
SNAPC1,SNAPC1,1,turquoise
SNAPC2,SNAPC2,0,grey
SNAPC3,SNAPC3,4,yellow
SNAPC4,SNAPC4,1,turquoise
SNAPC5,SNAPC5,0,grey
SNCA,SNCA,0,grey
SNCAIP,SNCAIP,1,turquoise
SNCB,SNCB,0,grey
SNCG,SNCG,1,turquoise
SND1,SND1,0,grey
SND1-IT1,SND1-IT1,0,grey
SNED1,SNED1,0,grey
SNF8,SNF8,0,grey
SNHG17,SNHG17,1,turquoise
SNHG3 /// SNORA73A,SNHG3 /// SNORA73A,0,grey
SNIP1,SNIP1,0,grey
SNN,SNN,1,turquoise
SNORA21,SNORA21,1,turquoise
SNORA29 /// TCP1,SNORA29 /// TCP1,1,turquoise
SNORA5B /// TBRG4,SNORA5B /// TBRG4,1,turquoise
SNPH,SNPH,1,turquoise
SNRK,SNRK,1,turquoise
SNRNP25,SNRNP25,1,turquoise
SNRNP27,SNRNP27,0,grey
SNRNP35,SNRNP35,1,turquoise
SNRNP40,SNRNP40,1,turquoise
SNRNP70,SNRNP70,0,grey
SNRPA,SNRPA,1,turquoise
SNRPA1,SNRPA1,1,turquoise
SNRPB,SNRPB,1,turquoise
SNRPB2,SNRPB2,1,turquoise
SNRPC,SNRPC,1,turquoise
SNRPD1,SNRPD1,1,turquoise
SNRPD2,SNRPD2,1,turquoise
SNRPD3,SNRPD3,0,grey
SNRPE,SNRPE,1,turquoise
SNRPF,SNRPF,1,turquoise
SNRPG,SNRPG,1,turquoise
SNRPN /// SNURF,SNRPN /// SNURF,1,turquoise
SNTA1,SNTA1,0,grey
SNTB1,SNTB1,1,turquoise
SNTB2,SNTB2,0,grey
SNTG1,SNTG1,0,grey
SNTG2,SNTG2,0,grey
SNUPN,SNUPN,0,grey
SNW1,SNW1,1,turquoise
SNX1,SNX1,0,grey
SNX10,SNX10,1,turquoise
SNX11,SNX11,0,grey
SNX13,SNX13,1,turquoise
SNX15,SNX15,0,grey
SNX16,SNX16,1,turquoise
SNX17,SNX17,0,grey
SNX19,SNX19,0,grey
SNX2,SNX2,1,turquoise
SNX24,SNX24,1,turquoise
SNX27,SNX27,0,grey
SNX29P2,SNX29P2,0,grey
SNX3,SNX3,1,turquoise
SNX4,SNX4,1,turquoise
SNX5,SNX5,0,grey
SNX6,SNX6,1,turquoise
SNX7,SNX7,0,grey
SOAT1,SOAT1,1,turquoise
SOAT2,SOAT2,0,grey
SOBP,SOBP,1,turquoise
SOCS1,SOCS1,1,turquoise
SOCS2,SOCS2,0,grey
SOCS3,SOCS3,9,magenta
SOCS5,SOCS5,0,grey
SOCS6,SOCS6,1,turquoise
SOCS7,SOCS7,0,grey
SOD1,SOD1,0,grey
SOD3,SOD3,2,blue
SOGA1,SOGA1,0,grey
SON,SON,0,grey
SORBS1,SORBS1,2,blue
SORBS2,SORBS2,1,turquoise
SORBS3,SORBS3,0,grey
SORCS3,SORCS3,0,grey
SORD,SORD,0,grey
SORL1,SORL1,0,grey
SORT1,SORT1,1,turquoise
SOS1,SOS1,0,grey
SOS2,SOS2,0,grey
SOSTDC1,SOSTDC1,0,grey
SOWAHC,SOWAHC,1,turquoise
SOX1,SOX1,0,grey
SOX10,SOX10,2,blue
SOX11,SOX11,1,turquoise
SOX12,SOX12,1,turquoise
SOX13,SOX13,0,grey
SOX14,SOX14,0,grey
SOX15,SOX15,0,grey
SOX17,SOX17,1,turquoise
SOX18,SOX18,0,grey
SOX2,SOX2,0,grey
SOX21,SOX21,0,grey
SOX3,SOX3,0,grey
SOX30,SOX30,1,turquoise
SOX4,SOX4,1,turquoise
SOX5,SOX5,0,grey
SOX5P /// SOX5P,SOX5P /// SOX5P,0,grey
SOX9,SOX9,0,grey
SP1,SP1,1,turquoise
SP100,SP100,1,turquoise
SP110,SP110,1,turquoise
SP140L,SP140L,1,turquoise
SP2,SP2,0,grey
SP3,SP3,0,grey
SP3P,SP3P,0,grey
SP4,SP4,0,grey
SPA17,SPA17,0,grey
SPACA1,SPACA1,0,grey
SPAG1,SPAG1,1,turquoise
SPAG11A,SPAG11A,0,grey
SPAG11A /// SPAG11B,SPAG11A /// SPAG11B,0,grey
SPAG16,SPAG16,1,turquoise
SPAG4,SPAG4,7,black
SPAG5,SPAG5,1,turquoise
SPAG6,SPAG6,1,turquoise
SPAG7,SPAG7,0,grey
SPAG8,SPAG8,0,grey
SPAG9,SPAG9,0,grey
SPAM1,SPAM1,0,grey
SPANXA1 /// SPANXA2 /// SPANXB1 /// SPANXC,SPANXA1 /// SPANXA2 /// SPANXB1 /// SPANXC,0,grey
SPANXA1 /// SPANXA2 /// SPANXC,SPANXA1 /// SPANXA2 /// SPANXC,0,grey
SPANXB1,SPANXB1,0,grey
SPARC,SPARC,1,turquoise
SPARCL1,SPARCL1,2,blue
SPAST,SPAST,1,turquoise
SPATA1,SPATA1,0,grey
SPATA2,SPATA2,1,turquoise
SPATA20,SPATA20,0,grey
SPATA2L,SPATA2L,0,grey
SPATA31A1 /// SPATA31A3 /// SPATA31A5 /// SPATA31A6 /// SPATA31A7,SPATA31A1 /// SPATA31A3 /// SPATA31A5 /// SPATA31A6 /// SPATA31A7,0,grey
SPATA31C2,SPATA31C2,0,grey
SPATA5L1,SPATA5L1,1,turquoise
SPATA6,SPATA6,2,blue
SPATA6L,SPATA6L,1,turquoise
SPATA7,SPATA7,0,grey
SPATS2,SPATS2,1,turquoise
SPATS2L,SPATS2L,0,grey
SPC24,SPC24,0,grey
SPC25,SPC25,1,turquoise
SPCS1,SPCS1,1,turquoise
SPCS2,SPCS2,11,greenyellow
SPCS3,SPCS3,0,grey
SPDEF,SPDEF,12,tan
SPDL1,SPDL1,1,turquoise
SPDYE2,SPDYE2,1,turquoise
SPECC1L,SPECC1L,0,grey
SPEF1,SPEF1,0,grey
SPEN,SPEN,1,turquoise
SPG11,SPG11,0,grey
SPG20,SPG20,2,blue
SPG21,SPG21,1,turquoise
SPHK1,SPHK1,1,turquoise
SPHK2,SPHK2,0,grey
SPI1,SPI1,3,brown
SPIB,SPIB,6,red
SPICE1,SPICE1,0,grey
SPIDR,SPIDR,1,turquoise
SPIN1,SPIN1,0,grey
SPIN2A,SPIN2A,0,grey
SPIN2A /// SPIN2B,SPIN2A /// SPIN2B,0,grey
SPINK1,SPINK1,5,green
SPINK2,SPINK2,0,grey
SPINK4,SPINK4,0,grey
SPINK5,SPINK5,1,turquoise
SPINT1,SPINT1,1,turquoise
SPINT2,SPINT2,0,grey
SPINT3,SPINT3,0,grey
SPN,SPN,0,grey
SPO11,SPO11,0,grey
SPOCK1,SPOCK1,8,pink
SPOCK2,SPOCK2,0,grey
SPOCK3,SPOCK3,0,grey
SPON1,SPON1,0,grey
SPOP,SPOP,1,turquoise
SPP1,SPP1,1,turquoise
SPP2,SPP2,0,grey
SPPL2B,SPPL2B,0,grey
SPR,SPR,1,turquoise
SPRED2,SPRED2,1,turquoise
SPRR1A,SPRR1A,1,turquoise
SPRR1B,SPRR1B,1,turquoise
SPRR2B,SPRR2B,1,turquoise
SPRR2C,SPRR2C,1,turquoise
SPRR3,SPRR3,1,turquoise
SPRY1,SPRY1,1,turquoise
SPRY2,SPRY2,0,grey
SPRY4,SPRY4,1,turquoise
SPRYD7,SPRYD7,1,turquoise
SPSB1,SPSB1,1,turquoise
SPSB3,SPSB3,1,turquoise
SPTA1,SPTA1,0,grey
SPTAN1,SPTAN1,1,turquoise
SPTB,SPTB,0,grey
SPTBN1,SPTBN1,0,grey
SPTBN2,SPTBN2,1,turquoise
SPTBN4,SPTBN4,0,grey
SPTBN5,SPTBN5,0,grey
SPTLC1,SPTLC1,1,turquoise
SPTLC2,SPTLC2,1,turquoise
SPTLC3,SPTLC3,0,grey
SPTSSA,SPTSSA,1,turquoise
SPX,SPX,1,turquoise
SQLE,SQLE,1,turquoise
SQRDL,SQRDL,1,turquoise
SQSTM1,SQSTM1,0,grey
SRBD1,SRBD1,1,turquoise
SRC,SRC,0,grey
SRCAP,SRCAP,0,grey
SRD5A1,SRD5A1,1,turquoise
SRD5A2,SRD5A2,0,grey
SRD5A3,SRD5A3,0,grey
SREBF1,SREBF1,1,turquoise
SREBF2,SREBF2,0,grey
SREK1,SREK1,0,grey
SREK1IP1,SREK1IP1,1,turquoise
SRF,SRF,0,grey
SRGAP2 /// SRGAP2B /// SRGAP2C,SRGAP2 /// SRGAP2B /// SRGAP2C,1,turquoise
SRGAP3,SRGAP3,0,grey
SRGN,SRGN,0,grey
SRI,SRI,1,turquoise
SRM,SRM,1,turquoise
SRMP1 /// SRMP1,SRMP1 /// SRMP1,0,grey
SRP14,SRP14,1,turquoise
SRP19,SRP19,0,grey
SRP19 /// ZRSR1,SRP19 /// ZRSR1,0,grey
SRP54,SRP54,1,turquoise
SRP72,SRP72,0,grey
SRP9,SRP9,1,turquoise
SRPK1,SRPK1,0,grey
SRPK2,SRPK2,1,turquoise
SRPK3,SRPK3,0,grey
SRPR,SRPR,0,grey
SRPRB,SRPRB,1,turquoise
SRPX,SRPX,2,blue
SRPX2,SRPX2,1,turquoise
SRR,SRR,1,turquoise
SRRD,SRRD,1,turquoise
SRRM1,SRRM1,0,grey
SRRM2,SRRM2,0,grey
SRRT,SRRT,1,turquoise
SRSF1,SRSF1,1,turquoise
SRSF10,SRSF10,1,turquoise
SRSF11,SRSF11,0,grey
SRSF3,SRSF3,1,turquoise
SRSF4,SRSF4,0,grey
SRSF5,SRSF5,1,turquoise
SRSF6,SRSF6,1,turquoise
SRSF7,SRSF7,1,turquoise
SRSF8,SRSF8,11,greenyellow
SRY,SRY,0,grey
SS18,SS18,0,grey
SS18L1,SS18L1,1,turquoise
SS18L2,SS18L2,1,turquoise
SSB,SSB,1,turquoise
SSBP1,SSBP1,1,turquoise
SSBP2,SSBP2,1,turquoise
SSBP3,SSBP3,0,grey
SSFA2,SSFA2,1,turquoise
SSH1,SSH1,1,turquoise
SSH3,SSH3,1,turquoise
SSNA1,SSNA1,0,grey
SSPN,SSPN,2,blue
SSR1,SSR1,0,grey
SSR2,SSR2,1,turquoise
SSR3,SSR3,1,turquoise
SSR4,SSR4,0,grey
SSRP1,SSRP1,1,turquoise
SSSCA1,SSSCA1,1,turquoise
SST,SST,5,green
SSTR1,SSTR1,0,grey
SSTR2,SSTR2,0,grey
SSTR3,SSTR3,0,grey
SSTR4,SSTR4,0,grey
SSTR5,SSTR5,0,grey
SSUH2,SSUH2,0,grey
SSX1,SSX1,0,grey
SSX2 /// SSX2B,SSX2 /// SSX2B,0,grey
SSX2 /// SSX2B /// SSX3,SSX2 /// SSX2B /// SSX3,0,grey
SSX2B,SSX2B,0,grey
SSX2IP,SSX2IP,1,turquoise
SSX3,SSX3,0,grey
SSX3 /// SSX5 /// SSX7,SSX3 /// SSX5 /// SSX7,0,grey
SSX4 /// SSX4B,SSX4 /// SSX4B,0,grey
ST13,ST13,0,grey
ST14,ST14,1,turquoise
ST18,ST18,0,grey
ST20,ST20,1,turquoise
ST3GAL1,ST3GAL1,0,grey
ST3GAL2,ST3GAL2,0,grey
ST3GAL4,ST3GAL4,1,turquoise
ST3GAL5,ST3GAL5,2,blue
ST3GAL6,ST3GAL6,0,grey
ST5,ST5,1,turquoise
ST6GAL1,ST6GAL1,7,black
ST6GALNAC2,ST6GALNAC2,1,turquoise
ST6GALNAC4,ST6GALNAC4,0,grey
ST6GALNAC5,ST6GALNAC5,1,turquoise
ST7L,ST7L,0,grey
ST8SIA1,ST8SIA1,0,grey
ST8SIA2,ST8SIA2,0,grey
ST8SIA3,ST8SIA3,0,grey
ST8SIA4,ST8SIA4,3,brown
ST8SIA5,ST8SIA5,0,grey
STAB1,STAB1,0,grey
STAB2,STAB2,1,turquoise
STAC,STAC,0,grey
STAG1,STAG1,1,turquoise
STAG2,STAG2,13,salmon
STAG3,STAG3,0,grey
STAG3L3,STAG3L3,1,turquoise
STAG3L4,STAG3L4,0,grey
STAM,STAM,0,grey
STAM2,STAM2,1,turquoise
STAMBP,STAMBP,0,grey
STAP1,STAP1,6,red
STAP2,STAP2,1,turquoise
STAR,STAR,0,grey
STARD13,STARD13,2,blue
STARD3,STARD3,1,turquoise
STARD5,STARD5,0,grey
STARD7,STARD7,1,turquoise
STARD8,STARD8,1,turquoise
STAT1,STAT1,1,turquoise
STAT2,STAT2,1,turquoise
STAT3,STAT3,0,grey
STAT4,STAT4,0,grey
STAT5A,STAT5A,0,grey
STAT5B,STAT5B,0,grey
STAT6,STAT6,0,grey
STATH,STATH,12,tan
STAU1,STAU1,1,turquoise
STAU2,STAU2,1,turquoise
STC1,STC1,1,turquoise
STC2,STC2,1,turquoise
STEAP1,STEAP1,1,turquoise
STEAP1B,STEAP1B,2,blue
STEAP3,STEAP3,1,turquoise
STEAP4,STEAP4,1,turquoise
STIL,STIL,1,turquoise
STIM1,STIM1,1,turquoise
STIP1,STIP1,1,turquoise
STK10,STK10,1,turquoise
STK11,STK11,0,grey
STK16,STK16,0,grey
STK17A,STK17A,1,turquoise
STK17B,STK17B,1,turquoise
STK19,STK19,1,turquoise
STK24,STK24,1,turquoise
STK25,STK25,0,grey
STK3,STK3,1,turquoise
STK32B,STK32B,0,grey
STK38,STK38,0,grey
STK38L,STK38L,0,grey
STK39,STK39,1,turquoise
STK4,STK4,0,grey
